id,title,type,release_year,runtime,genres,seasons,imdb_score,tmdb_score
ts300399,Five Came Back: The Reference Films,SHOW,1945,51,['documentation'],1.0,,
tm82169,Rocky,MOVIE,1976,119,"['drama', 'sport']",,8.1,"7,782"
tm17823,Grease,MOVIE,1978,110,"['romance', 'comedy']",,7.2,"7,406"
tm191099,The Sting,MOVIE,1973,129,"['crime', 'drama', 'comedy', 'music']",,8.3,8.02
tm69975,Rocky II,MOVIE,1979,119,"['drama', 'sport']",,7.3,"7,246"
tm127384,Monty Python and the Holy Grail,MOVIE,1975,91,"['fantasy', 'comedy']",,8.2,"7,804"
tm17249,Animal House,MOVIE,1978,109,['comedy'],,7.4,7.02
ts22164,Monty Python's Flying Circus,SHOW,1969,30,"['comedy', 'european']",4.0,8.8,"8,258"
tm70993,Life of Brian,MOVIE,1979,94,['comedy'],,8.0,"7,762"
tm16479,White Christmas,MOVIE,1954,120,"['comedy', 'music', 'romance']",,7.5,7.2
tm91699,Heroes,MOVIE,1977,112,"['drama', 'comedy', 'romance']",,6.0,6.5
tm12775,Play Misty for Me,MOVIE,1971,102,"['drama', 'thriller']",,6.9,"6,612"
tm135083,Cairo Station,MOVIE,1958,77,"['drama', 'comedy', 'crime']",,7.5,7.4
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,78,"['comedy', 'documentation']",,8.1,"7,432"
tm16812,Bandie,MOVIE,1978,141,"['drama', 'romance', 'action']",,4.8,6.0
tm75975,Prince,MOVIE,1969,152,['romance'],,6.8,7.0
tm156453,FTA,MOVIE,1972,97,"['comedy', 'documentation', 'music']",,6.4,6.1
ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,43,['comedy'],1.0,8.1,7.0
tm89386,Hitler: A Career,MOVIE,1977,150,"['documentation', 'history', 'european']",,7.5,7.4
tm71909,Amrapali,MOVIE,1966,120,['fantasy'],,6.7,6.3
tm100027,Alibaba Aur 40 Chor,MOVIE,1980,138,"['drama', 'action', 'romance', 'fantasy', 'family']",,6.2,6.8
tm107372,Manoranjan,MOVIE,1974,162,"['romance', 'comedy', 'drama']",,6.5,5.3
tm10204,Professor,MOVIE,1962,163,"['drama', 'comedy', 'romance']",,6.9,5.8
tm336403,Khoon Khoon,MOVIE,1973,131,"['crime', 'drama', 'thriller']",,5.3,3.8
